Medicine
Life Stone
Bead
Bead Chain
Chakra Drop
Chakra Pot
Great Chakra
Soma Drop
Soma
Bead of Life
Light Grimoire
Heavy Grimoire
Revival Bead
Balm of Rising

Patra Stone
Me Patra Stone
Dis-Poison
10-Point Card
Healing Water
Holy Fruit
Revival Leaf
Detox Solution
20-Point Card
Amrita Soda
Amrita Shower
Chakra Elixir
Summon Stone
Gold Jet
Gold Bulldozer
St Incense
Ma Incense
Dx Incense
Ag Incense
Lu Incense
Maragi Stone
Agilao Stone
Mabufu Stone
Bufula Stone
Mazio Stone
Zionga Stone
Mazan Stone
Zanma Stone
Mahama Stone
Mamudo Stone
Megido Stone
Megidola Stone
Needle Orb
Knockout Gas
Poison Gas
Nerve Gas
Attack Mirror
Magic Mirror
Tetraja Stone
Dekaja Stone
Dekunda Stone
Gold Death Mask
Expanse Meat
Heavenly Steak
A5 Demoloin
